Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_targets	num_decoy_targets	serialized_eq_classes	num_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	percent_mapped	call	start_time	end_time	num_valid_targets	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm
covid.400.0.56_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST	1.6.0	none	vb	[]	1	['IU']	1001	187.86379617652904	96.26578515619263	True	True	4096	mapping	False		182	False	170240	['range_factorized', 'gzipped']	[83, 158, 277, 362, 500000]	ec382acffce98c893f7ca03787d511721ca8273975e8f6245bc50735e1c6c688	77cadbf221c491e348b5188f1eb066bb1d3857fba256cbc05a96107e54bb2bfd	a657c7135db6f99bf7460fa70feedd8bbbba96f6f690ef785b2ac7ff069e2188e79b56bfa208ee6df2f01337cad095ed0eb7dd05acfc0805b2f4f201e9385426	0fe6f28eb3a07d98c4d173b222be928b8b348d04e4daf2fe34903322e2b92c0c98d10abda7de88b042c143b48c8f648b10cf9d1ad57a358390032c5650052adf	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	3587944	2666423	74.31618219236421	quant	Fri Dec 17 15:25:22 2021	Fri Dec 17 15:37:55 2021	5394927	344068	105085	621505	8618525
covid.400.0.56_sel.align.gencode.v39.salmon.v1.6.0.sidx_2022-01-05-16.33.37-PST	1.6.0	none	vb	[]	1	['IU']	1001	191.27853792861728	97.0409730153305	True	True	4096	mapping	False		194	False	113992	['range_factorized', 'gzipped']	[545, 753, 1333, 2558, 205012]	080df8fc08ea8d4956149a5aa597f9b4f1a59421eaf2e5180b5c9d62d6ffc8e0	ae1350e441e016eb2a3717a836173975334a9598f04efeb285c198ea2fed8509	c21e6ea8470ea3191fd826f17e0fc57a7e6488b5b3fb632d435b083d28ba3f013d1cb8c5409d5448b621cbc4256e7cddf9819da72a9482a8856db4c5191e2c94	8e909ba56e00bafc049f1c2f1150971a5a89bcbeaa99b5f73008407482d7d735961998abae24c5174666b6d451901a6ce1c7c35fdfb505ca0324337e0ea5ba41	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	3587944	2385667	66.49119941671331	quant	Wed Jan 05 17:20:07 2022	Wed Jan 05 17:31:36 2022	243577	383268	86179	635634	6330701
covid.411.0.75_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST	1.6.0	none	none	['insufficient_assigned_fragments']	1	['IU']	0	0.0	0.0	False	False	0	mapping	False	0	194	False	0	['range_factorized', 'gzipped']	[]	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	4586772	0	0.0	quant	Fri Dec 17 18:16:37 2021	Fri Dec 17 18:18:48 2021					
covid.411.0.75_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST	1.6.0	none	vb	[]	1	['IU']	1001	192.09748167285193	94.22492793967926	True	True	4096	mapping	False		194	False	119528	['range_factorized', 'gzipped']	[543, 742, 1307, 2531, 347561]	3b752bf3c19b81b04b47aaf645fc69f3361d4f1a9dadf8acb941ab9fa889e9a3	4f1b44ac48e5616105e8fdfb05a1b0e3f39a9005e27b9fb8c1e6d18cc3dfd91d	74f418352106e5baa911a4ab6aba9ee586df40b81049e9566a2a7b9e6c9fb1547a2a3d6e8a6f543420b78568100b4cd339523d5a962d2128e855f89b98e447cc	86e6ff7283dd2cb9459f64b7f17c7ef181a3f0e59ff87b79fde723f60f707f8a587125b1d4ee53edeef651ea6b29042a0de03f5bd6018dbd105942bbe53f42a5	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	4586772	3183544	69.40706884929097	quant	Thu Dec 16 23:13:22 2021	Thu Dec 16 23:20:44 2021	236186	418658	115948	794883	8098571
covid.411.0.75_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST	1.6.0	none	vb	[]	1	['IU']	1001	189.48328646016145	93.65353440720206	True	True	4096	mapping	False		182	False	176292	['range_factorized', 'gzipped']	[83, 158, 277, 362, 500000]	ec382acffce98c893f7ca03787d511721ca8273975e8f6245bc50735e1c6c688	77cadbf221c491e348b5188f1eb066bb1d3857fba256cbc05a96107e54bb2bfd	a657c7135db6f99bf7460fa70feedd8bbbba96f6f690ef785b2ac7ff069e2188e79b56bfa208ee6df2f01337cad095ed0eb7dd05acfc0805b2f4f201e9385426	0fe6f28eb3a07d98c4d173b222be928b8b348d04e4daf2fe34903322e2b92c0c98d10abda7de88b042c143b48c8f648b10cf9d1ad57a358390032c5650052adf	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	4586772	3543535	77.25552959684937	quant	Fri Dec 17 15:38:09 2021	Fri Dec 17 15:51:11 2021	5394927	333222	143769	742925	11236785
covid.411.0.75_sel.align.gencode.v39.salmon.v1.6.0.sidx_2022-01-05-16.33.37-PST	1.6.0	none	vb	[]	1	['IU']	1001	192.14959651466341	94.26112512091943	True	True	4096	mapping	False		194	False	121152	['range_factorized', 'gzipped']	[545, 753, 1333, 2558, 205012]	080df8fc08ea8d4956149a5aa597f9b4f1a59421eaf2e5180b5c9d62d6ffc8e0	ae1350e441e016eb2a3717a836173975334a9598f04efeb285c198ea2fed8509	c21e6ea8470ea3191fd826f17e0fc57a7e6488b5b3fb632d435b083d28ba3f013d1cb8c5409d5448b621cbc4256e7cddf9819da72a9482a8856db4c5191e2c94	8e909ba56e00bafc049f1c2f1150971a5a89bcbeaa99b5f73008407482d7d735961998abae24c5174666b6d451901a6ce1c7c35fdfb505ca0324337e0ea5ba41	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	4586772	3206585	69.90940469681074	quant	Wed Jan 05 17:31:48 2022	Wed Jan 05 17:43:37 2022	243577	416959	116752	793452	8174907
covid.412.0.64_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST	1.6.0	none	none	['insufficient_assigned_fragments']	1	['IU']	0	0.0	0.0	False	False	0	mapping	False	0	194	False	0	['range_factorized', 'gzipped']	[]	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	4513256	0	0.0	quant	Fri Dec 17 18:18:54 2021	Fri Dec 17 18:20:58 2021					
covid.412.0.64_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST	1.6.0	none	vb	[]	1	['IU']	1001	167.66973861043869	87.94927789246901	True	True	4096	mapping	False		194	False	70667	['range_factorized', 'gzipped']	[543, 742, 1307, 2531, 347561]	3b752bf3c19b81b04b47aaf645fc69f3361d4f1a9dadf8acb941ab9fa889e9a3	4f1b44ac48e5616105e8fdfb05a1b0e3f39a9005e27b9fb8c1e6d18cc3dfd91d	74f418352106e5baa911a4ab6aba9ee586df40b81049e9566a2a7b9e6c9fb1547a2a3d6e8a6f543420b78568100b4cd339523d5a962d2128e855f89b98e447cc	86e6ff7283dd2cb9459f64b7f17c7ef181a3f0e59ff87b79fde723f60f707f8a587125b1d4ee53edeef651ea6b29042a0de03f5bd6018dbd105942bbe53f42a5	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	4513256	3423447	75.85315346614506	quant	Thu Dec 16 23:20:52 2021	Thu Dec 16 23:26:27 2021	236186	343336	128151	677202	5894567
covid.412.0.64_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST	1.6.0	none	vb	[]	1	['IU']	1001	166.7073001722187	87.7278503607578	True	True	4096	mapping	False		182	False	139829	['range_factorized', 'gzipped']	[83, 158, 277, 362, 500000]	ec382acffce98c893f7ca03787d511721ca8273975e8f6245bc50735e1c6c688	77cadbf221c491e348b5188f1eb066bb1d3857fba256cbc05a96107e54bb2bfd	a657c7135db6f99bf7460fa70feedd8bbbba96f6f690ef785b2ac7ff069e2188e79b56bfa208ee6df2f01337cad095ed0eb7dd05acfc0805b2f4f201e9385426	0fe6f28eb3a07d98c4d173b222be928b8b348d04e4daf2fe34903322e2b92c0c98d10abda7de88b042c143b48c8f648b10cf9d1ad57a358390032c5650052adf	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	4513256	3611276	80.01487174669462	quant	Fri Dec 17 15:51:25 2021	Fri Dec 17 16:03:27 2021	5394927	311076	145179	668087	8496549
covid.412.0.64_sel.align.gencode.v39.salmon.v1.6.0.sidx_2022-01-05-16.33.37-PST	1.6.0	none	vb	[]	1	['IU']	1001	167.63796236059534	87.91308032631107	True	True	4096	mapping	False		194	False	71476	['range_factorized', 'gzipped']	[545, 753, 1333, 2558, 205012]	080df8fc08ea8d4956149a5aa597f9b4f1a59421eaf2e5180b5c9d62d6ffc8e0	ae1350e441e016eb2a3717a836173975334a9598f04efeb285c198ea2fed8509	c21e6ea8470ea3191fd826f17e0fc57a7e6488b5b3fb632d435b083d28ba3f013d1cb8c5409d5448b621cbc4256e7cddf9819da72a9482a8856db4c5191e2c94	8e909ba56e00bafc049f1c2f1150971a5a89bcbeaa99b5f73008407482d7d735961998abae24c5174666b6d451901a6ce1c7c35fdfb505ca0324337e0ea5ba41	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	4513256	3427795	75.94949189675924	quant	Wed Jan 05 17:43:47 2022	Wed Jan 05 17:52:17 2022	243577	343577	128313	677792	5919966
covid.426.0.80_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST	1.6.0	none	none	['insufficient_assigned_fragments']	1	['IU']	0	0.0	0.0	False	False	0	mapping	False	0	194	False	0	['range_factorized', 'gzipped']	[]	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	4577236	0	0.0	quant	Fri Dec 17 18:21:03 2021	Fri Dec 17 18:23:49 2021					
covid.426.0.80_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST	1.6.0	none	vb	[]	1	['IU']	1001	181.27219190157714	92.99421156390962	True	True	4096	mapping	False		194	False	124823	['range_factorized', 'gzipped']	[543, 742, 1307, 2531, 347561]	3b752bf3c19b81b04b47aaf645fc69f3361d4f1a9dadf8acb941ab9fa889e9a3	4f1b44ac48e5616105e8fdfb05a1b0e3f39a9005e27b9fb8c1e6d18cc3dfd91d	74f418352106e5baa911a4ab6aba9ee586df40b81049e9566a2a7b9e6c9fb1547a2a3d6e8a6f543420b78568100b4cd339523d5a962d2128e855f89b98e447cc	86e6ff7283dd2cb9459f64b7f17c7ef181a3f0e59ff87b79fde723f60f707f8a587125b1d4ee53edeef651ea6b29042a0de03f5bd6018dbd105942bbe53f42a5	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	4577236	1922384	41.99879577981122	quant	Thu Dec 16 23:26:34 2021	Thu Dec 16 23:36:12 2021	236186	1020990	78895	1425431	11161989
covid.426.0.80_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST	1.6.0	none	vb	[]	1	['IU']	1001	174.26328764721904	90.18889208788849	True	True	4096	mapping	False		182	False	403826	['range_factorized', 'gzipped']	[83, 158, 277, 362, 500000]	ec382acffce98c893f7ca03787d511721ca8273975e8f6245bc50735e1c6c688	77cadbf221c491e348b5188f1eb066bb1d3857fba256cbc05a96107e54bb2bfd	a657c7135db6f99bf7460fa70feedd8bbbba96f6f690ef785b2ac7ff069e2188e79b56bfa208ee6df2f01337cad095ed0eb7dd05acfc0805b2f4f201e9385426	0fe6f28eb3a07d98c4d173b222be928b8b348d04e4daf2fe34903322e2b92c0c98d10abda7de88b042c143b48c8f648b10cf9d1ad57a358390032c5650052adf	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	4577236	2797832	61.12492342540345	quant	Fri Dec 17 16:03:39 2021	Fri Dec 17 16:23:45 2021	5394927	795499	134014	1274398	20204289
