Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_targets	num_decoy_targets	serialized_eq_classes	num_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	percent_mapped	call	start_time	end_time	num_valid_targets	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm
ctrl.13.0.7_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST	1.6.0	none	vb	[]	1	['IU']	1001	197.31306243536545	98.04188589462878	True	True	4096	mapping	False		194	False	41666	['range_factorized', 'gzipped']	[543, 742, 1307, 2531, 347561]	3b752bf3c19b81b04b47aaf645fc69f3361d4f1a9dadf8acb941ab9fa889e9a3	4f1b44ac48e5616105e8fdfb05a1b0e3f39a9005e27b9fb8c1e6d18cc3dfd91d	74f418352106e5baa911a4ab6aba9ee586df40b81049e9566a2a7b9e6c9fb1547a2a3d6e8a6f543420b78568100b4cd339523d5a962d2128e855f89b98e447cc	86e6ff7283dd2cb9459f64b7f17c7ef181a3f0e59ff87b79fde723f60f707f8a587125b1d4ee53edeef651ea6b29042a0de03f5bd6018dbd105942bbe53f42a5	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	5832182	5397055	92.53920745271667	quant	Thu Dec 16 22:51:43 2021	Thu Dec 16 22:56:08 2021	236186	228655	54823	367307	1764329
ctrl.13.0.7_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST	1.6.0	none	vb	[]	1	['IU']	1001	197.35240692777674	98.03764816660447	True	True	4096	mapping	False		182	False	48349	['range_factorized', 'gzipped']	[83, 158, 277, 362, 500000]	ec382acffce98c893f7ca03787d511721ca8273975e8f6245bc50735e1c6c688	77cadbf221c491e348b5188f1eb066bb1d3857fba256cbc05a96107e54bb2bfd	a657c7135db6f99bf7460fa70feedd8bbbba96f6f690ef785b2ac7ff069e2188e79b56bfa208ee6df2f01337cad095ed0eb7dd05acfc0805b2f4f201e9385426	0fe6f28eb3a07d98c4d173b222be928b8b348d04e4daf2fe34903322e2b92c0c98d10abda7de88b042c143b48c8f648b10cf9d1ad57a358390032c5650052adf	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	5832182	5417276	92.88592159846864	quant	Fri Dec 17 14:59:41 2021	Fri Dec 17 15:07:11 2021	5394927	221635	56006	363276	2095394
ctrl.4.1.3_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST	1.6.0	none	none	['insufficient_assigned_fragments']	1	['IU']	0	0.0	0.0	False	False	0	mapping	False	0	194	False	0	['range_factorized', 'gzipped']	[]	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	4406955	0	0.0	quant	Fri Dec 17 18:16:12 2021	Fri Dec 17 18:18:12 2021					
ctrl.4.1.3_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST	1.6.0	none	vb	[]	1	['IU']	1001	192.4831700686622	100.8404330782161	True	True	4096	mapping	False		194	False	20840	['range_factorized', 'gzipped']	[543, 742, 1307, 2531, 347561]	3b752bf3c19b81b04b47aaf645fc69f3361d4f1a9dadf8acb941ab9fa889e9a3	4f1b44ac48e5616105e8fdfb05a1b0e3f39a9005e27b9fb8c1e6d18cc3dfd91d	74f418352106e5baa911a4ab6aba9ee586df40b81049e9566a2a7b9e6c9fb1547a2a3d6e8a6f543420b78568100b4cd339523d5a962d2128e855f89b98e447cc	86e6ff7283dd2cb9459f64b7f17c7ef181a3f0e59ff87b79fde723f60f707f8a587125b1d4ee53edeef651ea6b29042a0de03f5bd6018dbd105942bbe53f42a5	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	4406955	4078985	92.55789995586522	quant	Thu Dec 16 22:59:44 2021	Thu Dec 16 23:02:51 2021	236186	189815	40690	286205	1141031
ctrl.4.1.3_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST	1.6.0	none	vb	[]	1	['IU']	1001	192.3900301559328	100.83857638353751	True	True	4096	mapping	False		182	False	22572	['range_factorized', 'gzipped']	[83, 158, 277, 362, 500000]	ec382acffce98c893f7ca03787d511721ca8273975e8f6245bc50735e1c6c688	77cadbf221c491e348b5188f1eb066bb1d3857fba256cbc05a96107e54bb2bfd	a657c7135db6f99bf7460fa70feedd8bbbba96f6f690ef785b2ac7ff069e2188e79b56bfa208ee6df2f01337cad095ed0eb7dd05acfc0805b2f4f201e9385426	0fe6f28eb3a07d98c4d173b222be928b8b348d04e4daf2fe34903322e2b92c0c98d10abda7de88b042c143b48c8f648b10cf9d1ad57a358390032c5650052adf	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	4406955	4083600	92.66262078918437	quant	Fri Dec 17 15:07:24 2021	Fri Dec 17 15:13:49 2021	5394927	188256	41520	286071	1335216
ctrl.5.1.3_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST	1.6.0	none	none	['insufficient_assigned_fragments']	1	['IU']	0	0.0	0.0	False	False	0	mapping	False	0	194	False	0	['range_factorized', 'gzipped']	[]	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	6691852	0	0.0	quant	Fri Dec 17 18:18:17 2021	Fri Dec 17 18:20:22 2021					
ctrl.5.1.3_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST	1.6.0	none	vb	[]	1	['IU']	1001	198.3251949793961	99.43866084299601	True	True	4096	mapping	False		194	False	28977	['range_factorized', 'gzipped']	[543, 742, 1307, 2531, 347561]	3b752bf3c19b81b04b47aaf645fc69f3361d4f1a9dadf8acb941ab9fa889e9a3	4f1b44ac48e5616105e8fdfb05a1b0e3f39a9005e27b9fb8c1e6d18cc3dfd91d	74f418352106e5baa911a4ab6aba9ee586df40b81049e9566a2a7b9e6c9fb1547a2a3d6e8a6f543420b78568100b4cd339523d5a962d2128e855f89b98e447cc	86e6ff7283dd2cb9459f64b7f17c7ef181a3f0e59ff87b79fde723f60f707f8a587125b1d4ee53edeef651ea6b29042a0de03f5bd6018dbd105942bbe53f42a5	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	6691852	6200677	92.66010366039177	quant	Thu Dec 16 23:02:56 2021	Thu Dec 16 23:06:49 2021	236186	256406	63393	435025	2013292
ctrl.5.1.3_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST	1.6.0	none	vb	[]	1	['IU']	1001	198.33575871063022	99.45779907986949	True	True	4096	mapping	False		182	False	32003	['range_factorized', 'gzipped']	[83, 158, 277, 362, 500000]	ec382acffce98c893f7ca03787d511721ca8273975e8f6245bc50735e1c6c688	77cadbf221c491e348b5188f1eb066bb1d3857fba256cbc05a96107e54bb2bfd	a657c7135db6f99bf7460fa70feedd8bbbba96f6f690ef785b2ac7ff069e2188e79b56bfa208ee6df2f01337cad095ed0eb7dd05acfc0805b2f4f201e9385426	0fe6f28eb3a07d98c4d173b222be928b8b348d04e4daf2fe34903322e2b92c0c98d10abda7de88b042c143b48c8f648b10cf9d1ad57a358390032c5650052adf	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	6691852	6208779	92.78117627227859	quant	Fri Dec 17 15:14:04 2021	Fri Dec 17 15:22:04 2021	5394927	254191	65425	436673	2358112
ctrl.6.1.5_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST	1.6.0	none	none	['insufficient_assigned_fragments']	1	['IU']	0	0.0	0.0	False	False	0	mapping	False	0	194	False	0	['range_factorized', 'gzipped']	[]	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	4927020	0	0.0	quant	Fri Dec 17 18:20:28 2021	Fri Dec 17 18:22:34 2021					
ctrl.6.1.5_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST	1.6.0	none	vb	[]	1	['IU']	1001	203.2222772972204	97.24255877242975	True	True	4096	mapping	False		194	False	54264	['range_factorized', 'gzipped']	[543, 742, 1307, 2531, 347561]	3b752bf3c19b81b04b47aaf645fc69f3361d4f1a9dadf8acb941ab9fa889e9a3	4f1b44ac48e5616105e8fdfb05a1b0e3f39a9005e27b9fb8c1e6d18cc3dfd91d	74f418352106e5baa911a4ab6aba9ee586df40b81049e9566a2a7b9e6c9fb1547a2a3d6e8a6f543420b78568100b4cd339523d5a962d2128e855f89b98e447cc	86e6ff7283dd2cb9459f64b7f17c7ef181a3f0e59ff87b79fde723f60f707f8a587125b1d4ee53edeef651ea6b29042a0de03f5bd6018dbd105942bbe53f42a5	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	4927020	4583648	93.0308381130988	quant	Thu Dec 16 23:06:56 2021	Thu Dec 16 23:11:03 2021	236186	182415	46102	296082	1820897
ctrl.6.1.5_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST	1.6.0	none	vb	[]	1	['IU']	1001	203.10408138959477	97.3028602182974	True	True	4096	mapping	False		182	False	60181	['range_factorized', 'gzipped']	[83, 158, 277, 362, 500000]	ec382acffce98c893f7ca03787d511721ca8273975e8f6245bc50735e1c6c688	77cadbf221c491e348b5188f1eb066bb1d3857fba256cbc05a96107e54bb2bfd	a657c7135db6f99bf7460fa70feedd8bbbba96f6f690ef785b2ac7ff069e2188e79b56bfa208ee6df2f01337cad095ed0eb7dd05acfc0805b2f4f201e9385426	0fe6f28eb3a07d98c4d173b222be928b8b348d04e4daf2fe34903322e2b92c0c98d10abda7de88b042c143b48c8f648b10cf9d1ad57a358390032c5650052adf	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	4927020	4594278	93.24658718657524	quant	Fri Dec 17 15:22:18 2021	Fri Dec 17 15:30:02 2021	5394927	178472	47222	294765	2144605
ctrl.7.1.2_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST	1.6.0	none	none	['insufficient_assigned_fragments']	1	['IU']	0	0.0	0.0	False	False	0	mapping	False	0	194	False	0	['range_factorized', 'gzipped']	[]	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	5395804	0	0.0	quant	Fri Dec 17 18:22:39 2021	Fri Dec 17 18:24:43 2021					
ctrl.7.1.2_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST	1.6.0	none	vb	[]	1	['IU']	1001	186.60530120558295	92.63397186331984	True	True	4096	mapping	False		194	False	22594	['range_factorized', 'gzipped']	[543, 742, 1307, 2531, 347561]	3b752bf3c19b81b04b47aaf645fc69f3361d4f1a9dadf8acb941ab9fa889e9a3	4f1b44ac48e5616105e8fdfb05a1b0e3f39a9005e27b9fb8c1e6d18cc3dfd91d	74f418352106e5baa911a4ab6aba9ee586df40b81049e9566a2a7b9e6c9fb1547a2a3d6e8a6f543420b78568100b4cd339523d5a962d2128e855f89b98e447cc	86e6ff7283dd2cb9459f64b7f17c7ef181a3f0e59ff87b79fde723f60f707f8a587125b1d4ee53edeef651ea6b29042a0de03f5bd6018dbd105942bbe53f42a5	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	5395804	4990044	92.48008267164633	quant	Thu Dec 16 23:14:59 2021	Thu Dec 16 23:18:24 2021	236186	247304	51208	363504	1437995
ctrl.7.1.2_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST	1.6.0	none	vb	[]	1	['IU']	1001	186.34343221255165	92.67226403530775	True	True	4096	mapping	False		182	False	34275	['range_factorized', 'gzipped']	[83, 158, 277, 362, 500000]	ec382acffce98c893f7ca03787d511721ca8273975e8f6245bc50735e1c6c688	77cadbf221c491e348b5188f1eb066bb1d3857fba256cbc05a96107e54bb2bfd	a657c7135db6f99bf7460fa70feedd8bbbba96f6f690ef785b2ac7ff069e2188e79b56bfa208ee6df2f01337cad095ed0eb7dd05acfc0805b2f4f201e9385426	0fe6f28eb3a07d98c4d173b222be928b8b348d04e4daf2fe34903322e2b92c0c98d10abda7de88b042c143b48c8f648b10cf9d1ad57a358390032c5650052adf	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	5395804	5005790	92.7719020186797	quant	Fri Dec 17 15:30:16 2021	Fri Dec 17 15:37:12 2021	5394927	236223	52002	354369	2140811
ctrl.8.1.2_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST	1.6.0	none	none	['insufficient_assigned_fragments']	1	['IU']	0	0.0	0.0	False	False	0	mapping	False	0	194	False	0	['range_factorized', 'gzipped']	[]	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	4311168	0	0.0	quant	Fri Dec 17 18:24:48 2021	Fri Dec 17 18:26:41 2021					
